"Date","Price","Open","High","Low","Change %"
"10/18/2010","98.79","98.79","98.79","98.79","4.93%"
"10/15/2010","94.15","94.15","94.15","94.15","2.17%"
"10/14/2010","92.15","92.15","92.15","92.15","1.09%"
"10/13/2010","91.16","91.16","91.16","91.16","-5.86%"
"10/12/2010","96.83","96.83","96.83","96.83","-2.87%"
"10/11/2010","99.69","99.69","99.69","99.69","0.00%"
"10/08/2010","99.69","99.69","99.69","99.69","-5.69%"
"10/07/2010","105.70","105.70","105.70","105.70","-0.63%"
"10/06/2010","106.37","106.37","106.37","106.37","-1.85%"
"10/05/2010","108.38","108.38","108.38","108.38","-3.85%"
"10/04/2010","112.72","112.72","112.72","112.72","-0.61%"
"10/01/2010","113.41","113.41","113.41","113.41","-1.73%"
"09/30/2010","115.41","115.41","115.41","115.41","1.46%"
"09/29/2010","113.75","113.75","113.75","113.75","-0.88%"
"09/28/2010","114.76","114.76","114.76","114.76","-0.87%"
"09/27/2010","115.77","115.77","115.77","115.77","-1.62%"
"09/24/2010","117.68","117.68","117.68","117.68","-1.21%"
"09/23/2010","119.12","119.12","119.12","119.12","1.41%"
"09/22/2010","117.46","117.46","117.46","117.46","-1.41%"
"09/21/2010","119.14","119.14","119.14","119.14","0.00%"
"09/20/2010","119.14","119.14","119.14","119.14","0.78%"
"09/17/2010","118.22","118.22","118.22","118.22","2.01%"
"09/16/2010","115.89","115.89","115.89","115.89","-2.26%"
"09/15/2010","118.57","118.57","118.57","118.57","-0.56%"
"09/14/2010","119.24","119.24","119.24","119.24","-1.38%"
"09/13/2010","120.91","120.91","120.91","120.91","-3.48%"
"09/10/2010","125.27","125.27","125.27","125.27","0.00%"
"09/09/2010","125.27","125.27","125.27","125.27","-0.54%"
"09/08/2010","125.95","125.95","125.95","125.95","2.99%"
"09/07/2010","122.29","122.29","122.29","122.29","3.65%"
"09/06/2010","117.98","117.98","117.98","117.98","-0.29%"
"09/03/2010","118.32","118.32","118.32","118.32","-3.80%"
"09/02/2010","122.99","122.99","122.99","122.99","-1.61%"
"09/01/2010","125.00","125.00","125.00","125.00","-5.30%"
"08/31/2010","132.00","132.00","132.00","132.00","1.79%"
"08/30/2010","129.68","129.68","129.68","129.68","0.76%"
"08/27/2010","128.70","128.70","128.70","128.70","1.98%"
"08/26/2010","126.20","126.20","126.20","126.20","1.33%"
"08/25/2010","124.54","124.54","124.54","124.54","1.07%"
"08/24/2010","123.22","123.22","123.22","123.22","3.06%"
"08/23/2010","119.56","119.56","119.56","119.56","-1.12%"
"08/20/2010","120.91","120.91","120.91","120.91","2.79%"
"08/19/2010","117.63","117.63","117.63","117.63","0.75%"
"08/18/2010","116.76","116.76","116.76","116.76","1.44%"
"08/17/2010","115.10","115.10","115.10","115.10","-3.37%"
"08/16/2010","119.11","119.11","119.11","119.11","1.12%"
"08/13/2010","117.79","117.79","117.79","117.79","0.56%"
"08/12/2010","117.13","117.13","117.13","117.13","2.02%"
"08/11/2010","114.81","114.81","114.81","114.81","1.47%"
"08/10/2010","113.15","113.15","113.15","113.15","-0.30%"
"08/09/2010","113.49","113.49","113.49","113.49","-1.75%"
"08/06/2010","115.51","115.51","115.51","115.51","-0.58%"
"08/05/2010","116.18","116.18","116.18","116.18","0.70%"
"08/04/2010","115.37","115.37","115.37","115.37","0.87%"
"08/03/2010","114.38","114.38","114.38","114.38","0.59%"
"08/02/2010","113.71","113.71","113.71","113.71","-2.86%"
"07/30/2010","117.06","117.06","117.06","117.06","0.58%"
"07/29/2010","116.39","116.39","116.39","116.39","-1.97%"
"07/28/2010","118.73","118.73","118.73","118.73","2.29%"
"07/27/2010","116.07","116.07","116.07","116.07","-0.29%"
"07/26/2010","116.41","116.41","116.41","116.41","-3.06%"
"07/23/2010","120.08","120.08","120.08","120.08","-0.14%"
"07/22/2010","120.25","120.25","120.25","120.25","-2.17%"
"07/21/2010","122.92","122.92","122.92","122.92","-2.39%"
"07/20/2010","125.93","125.93","125.93","125.93","-0.79%"
"07/19/2010","126.93","126.93","126.93","126.93","1.05%"
"07/16/2010","125.61","125.61","125.61","125.61","0.80%"
"07/15/2010","124.61","124.61","124.61","124.61","0.81%"
"07/14/2010","123.61","123.61","123.61","123.61","1.92%"
"07/13/2010","121.28","121.28","121.28","121.28","-4.97%"
"07/12/2010","127.62","127.62","127.62","127.62","-1.30%"
"07/09/2010","129.30","129.30","129.30","129.30","-2.75%"
"07/08/2010","132.95","132.95","132.95","132.95","-3.41%"
"07/07/2010","137.64","137.64","137.64","137.64","0.24%"
"07/06/2010","137.31","137.31","137.31","137.31","-2.09%"
